i roll pitch yaw
325 -0.45319578 0.042341106 0.30226347 
326 -0.45333183 0.043082993 0.32089263 
327 -0.45522028 0.05097065 0.35281688 
328 -0.45637575 0.055796735 0.3723498 
329 -0.45747885 0.060404085 0.39099744 
330 -0.45955798 0.0690881 0.42614484 
331 -0.4608042 0.07429327 0.44721207 
332 -0.46266657 0.07240281 0.46270406 
333 -0.4657305 0.06929271 0.4881909 
334 -0.4676326 0.06736193 0.50401336 
335 -0.4699136 0.06504653 0.5229877 
336 -0.4714871 0.0634493 0.5360767 
337 -0.47309968 0.06181241 0.5494908 
338 -0.47349885 0.061135028 0.5539097 
339 -0.47399092 0.0603 0.5593571 
340 -0.47453922 0.059369538 0.56542706 
341 -0.4749241 0.058716398 0.5696879 
342 -0.4754355 0.05784854 0.57534945 
343 -0.47591007 0.057043176 0.5806033 
344 -0.47763956 0.05663134 0.5836578 
345 -0.4790063 0.056305885 0.58607167 
346 -0.4801071 0.056043755 0.58801585 
347 -0.48180458 0.05563954 0.59101385 
348 -0.48308188 0.055335376 0.59326977 
349 -0.4843793 0.05502643 0.59556115 
350 -0.4852705 0.05583093 0.5971983 
351 -0.48662767 0.057056062 0.59969145 
352 -0.48805192 0.058341745 0.6023078 
353 -0.4892859 0.05945565 0.60457456 
354 -0.49053735 0.060585357 0.6068735 
355 -0.49232838 0.06060885 0.60891277 
356 -0.49479547 0.06064121 0.6117218 
357 -0.49662042 0.06066515 0.6137997 
358 -0.49824968 0.06068652 0.61565477 
359 -0.500741 0.0607192 0.6184914 
360 -0.50271446 0.060745083 0.6207384 
361 -0.50408083 0.059148274 0.6224165 
362 -0.5054268 0.05757531 0.6240695 
363 -0.5067534 0.056025013 0.62569875 
364 -0.5077441 0.05486727 0.6269154 
365 -0.5090135 0.053383797 0.62847435 
366 -0.51016027 0.05204361 0.62988275 
367 -0.5104124 0.05270721 0.63187534 
368 -0.51060605 0.053216822 0.6334055 
369 -0.51087004 0.053911634 0.6354918 
370 -0.5110854 0.05447839 0.63719356 
371 -0.5114349 0.05539835 0.6399559 
372 -0.5140541 0.05712413 0.64177215 
373 -0.5169873 0.0590568 0.64380616 
374 -0.5192891 0.060573425 0.6454023 
375 -0.52181566 0.06223818 0.64715433 
376 -0.52387697 0.06359637 0.6485837 
377 -0.5247752 0.06266302 0.65057856 
378 -0.52589446 0.061500005 0.65306425 
379 -0.52684015 0.06051735 0.6551645 
380 -0.52830213 0.058998212 0.6584113 
381 -0.5292824 0.057979614 0.6605884 
382 -0.5305747 0.05663679 0.66345835 
383 -0.5343803 0.057572316 0.6653705 
384 -0.5395224 0.05883639 0.66795427 
385 -0.54262954 0.059600208 0.6695155 
386 -0.547204 0.060724746 0.671814 
387 -0.55065167 0.061572272 0.6735464 
388 -0.55247945 0.061303694 0.6747736 
389 -0.5545973 0.06099249 0.67619556 
390 -0.5563648 0.06073277 0.6773823 
391 -0.5596314 0.060252767 0.6795756 
392 -0.5619042 0.059918795 0.6811017 
393 -0.5650883 0.05945092 0.6832396 
394 -0.56516707 0.060381528 0.68451136 
395 -0.565262 0.061503433 0.6860446 
396 -0.5653579 0.06263627 0.68759274 
397 -0.5654715 0.06397775 0.68942606 
398 -0.56555015 0.064907186 0.69069624 
399 -0.5656604 0.066210076 0.6924768 
400 -0.5657587 0.067371376 0.69406384 
401 -0.56527835 0.065694034 0.6954921 
402 -0.56487346 0.06428016 0.696696 
403 -0.56428903 0.06223957 0.6984336 
404 -0.5639197 0.060950022 0.6995316 
405 -0.56362724 0.059928745 0.70040125 
406 -0.56491965 0.059550464 0.7020471 
407 -0.56567097 0.059330557 0.7030039 
408 -0.5662797 0.059152383 0.7037791 
409 -0.5670487 0.058927283 0.70475847 
410 -0.5682016 0.05858983 0.70622665 
411 -0.5688291 0.058406156 0.70702577 
412 -0.5714579 0.059468187 0.7078193 
413 -0.5734842 0.060286794 0.7084309 
414 -0.5760481 0.06132261 0.7092048 
415 -0.5780642 0.06213713 0.70981336 
416 -0.58083886 0.06325809 0.71065086 
417 -0.58285683 0.06407334 0.71125996 
418 -0.58585566 0.065284856 0.7121651 
419 -0.5859074 0.065724425 0.71315414 
420 -0.5859807 0.06634715 0.71455526 
421 -0.58603394 0.06679917 0.7155723 
422 -0.58610487 0.0674018 0.7169282 
423 -0.58616436 0.06790715 0.71806526 
424 -0.5862177 0.06836035 0.719085 
425 -0.5861834 0.067597404 0.71980023 
426 -0.58614445 0.06672945 0.72061396 
427 -0.58611196 0.06600671 0.72129154 
428 -0.58608216 0.0653434 0.7219134 
429 -0.5860483 0.06458939 0.7226203 
430 -0.5860022 0.06356272 0.7235828 
431 -0.5859745 0.06294683 0.7241602 
432 -0.58797765 0.063028365 0.7256192 
433 -0.58929324 0.06308191 0.7265774 
