i steerAngle sensorAngle maxSpeed sensorSpeed cameraPosX cameraPosY cameraPosZ cameraOriX cameraOriY cameraOriZ cameraOriW imuGyroX imuGyroY imuGyroZ imuAccX imuAccY imuAccZ imuMagX imuMagY imuMagZ deltaTime cameraConfidence
51 0 0 19.0 0.0 0.00084529136 9.131088e-5 2.358575e-5 2.5245376e-5 0.00012207031 0.00012207031 -0.0 1.0 -0.02724075 0.004276057 -0.01863139 0.01094 0.05414 1.01515 0.169 0.04428 0.26146 0.030491829 0.88
52 0 0 19.0 0.0 0.00086482055 9.652458e-5 2.2573502e-5 2.023851e-5 0.00012207031 0.00012207031 -0.0 1.0 -0.02724075 0.004276057 -0.01863139 0.01094 0.05414 1.01515 0.169 0.04428 0.26146 0.02939105 0.88
53 0 0 19.0 0.0 0.0008771475 9.3691735e-5 1.7867438e-5 1.3495383e-5 0.0 0.0 -0.00017263349 1.0 -0.02724075 0.004276057 -0.01863139 0.01094 0.05414 1.01515 0.169 0.04428 0.26146 0.030786991 0.88
54 0 0 19.0 0.0 0.0008907767 9.89428e-5 1.5144522e-5 1.4857422e-5 0.00012207031 0.00012207031 -0.0 1.0 -0.02724075 0.004276057 -0.01863139 0.01094 0.05414 1.01515 0.169 0.04428 0.26146 0.030743122 0.88
55 0 0 19.0 0.0 0.00091509067 0.000106718224 1.0917619e-5 2.5874568e-5 0.00012207031 0.00012207031 -0.0 1.0 -0.02724075 0.004276057 -0.01863139 0.01094 0.05414 1.01515 0.169 0.04428 0.26146 0.028831959 0.87
56 0 0 19.0 0.0 0.0009294844 0.00011503898 8.484969e-6 1.68027e-5 0.00012207031 0.00012207031 -0.0 1.0 -0.028958851 0.0016608554 -0.018841352 0.01251 0.0546 1.01538 0.16902 0.04431 0.262 0.02913189 0.87
57 0 0 19.0 0.0 0.00093287654 0.000107641914 1.205159e-5 8.885055e-6 0.00012207031 0.00012207031 -0.0 1.0 -0.028958851 0.0016608554 -0.018841352 0.01251 0.0546 1.01538 0.16902 0.04431 0.262 0.029090166 0.88
58 0 0 19.0 0.0 0.00090105215 0.00011615468 8.452892e-6 3.313927e-5 0.0 0.0 -0.0 1.0 -0.028958851 0.0016608554 -0.018841352 0.01251 0.0546 1.01538 0.16902 0.04431 0.262 0.030306816 0.88
59 0 0 19.0 0.0 0.0008901713 0.00011334701 -6.0435336e-6 1.8341818e-5 0.0 0.0 -0.00017263349 1.0 -0.028958851 0.0016608554 -0.018841352 0.01251 0.0546 1.01538 0.16902 0.04431 0.262 0.03024602 0.88
60 0 0 19.0 0.0 0.0009440863 0.00013419674 -9.44439e-6 5.7905996e-5 0.0 0.0 -0.0 1.0 -0.028958851 0.0016608554 -0.018841352 0.01251 0.0546 1.01538 0.16902 0.04431 0.262 0.041790962 0.88
61 0 0 19.0 0.0 0.0009559236 0.00013196975 -1.2969946e-5 1.25503275e-5 0.00012207031 0.00012207031 -0.0 1.0 -0.028958851 0.0016608554 -0.018841352 0.01251 0.0546 1.01538 0.16902 0.04431 0.262 0.030417204 0.88
62 0 0 19.0 0.0 0.00096036046 0.00012920886 -1.0642584e-5 5.7205702e-6 0.0 0.0 -0.0 1.0 -0.028958851 0.0016608554 -0.018841352 0.01251 0.0546 1.01538 0.16902 0.04431 0.262 0.030196905 0.88
63 0 0 19.0 0.0 0.00096787285 0.00012768344 -6.3031916e-6 8.808745e-6 0.0 0.0 -0.0 1.0 -0.028958851 0.0016608554 -0.018841352 0.01251 0.0546 1.01538 0.16902 0.04431 0.262 0.030164957 0.86
64 0 0 19.0 0.0 0.00097054354 0.00013278176 -5.479888e-6 5.8140567e-6 0.00012207031 0.00012207031 -0.0 1.0 -0.026095465 0.0018325957 -0.019528663 0.01443 0.0544 1.0177 0.16854 0.04422 0.26086 0.028413057 0.88
65 0 0 19.0 0.0 0.0009755136 0.00013597304 -5.592115e-6 5.9074687e-6 0.0 0.0 -0.0 1.0 -0.026095465 0.0018325957 -0.019528663 0.01443 0.0544 1.0177 0.16854 0.04422 0.26086 0.031171083 0.88
66 0 0 19.0 0.0 0.0010059736 0.00014326628 -1.11943755e-5 3.1817966e-5 0.00012207031 0.00012207031 -0.0 1.0 -0.026095465 0.0018325957 -0.019528663 0.01443 0.0544 1.0177 0.16854 0.04422 0.26086 0.050848007 0.88
67 0 0 19.0 0.0 0.0009977012 0.00013755882 -4.9788914e-6 1.1816891e-5 0.0 0.0 -0.0 1.0 -0.026095465 0.0018325957 -0.019528663 0.01443 0.0544 1.0177 0.16854 0.04422 0.26086 0.03003788 0.88
68 0 0 19.0 0.0 0.001017653 0.00014204186 -5.8741352e-6 2.0468882e-5 0.00012207031 0.00012207031 -0.0 1.0 -0.026095465 0.0018325957 -0.019528663 0.01443 0.0544 1.0177 0.16854 0.04422 0.26086 0.03105712 0.88
